Date,Strategy,Type,Symbol,Strike,Entry Premium,Exit Premium,Contracts,P&L,DTE
2024-01-05,0DTE,Call Credit Spread,ES,5550,22.55386035125749,56.38465087814373,1,1691.54,N/A
2024-01-12,0DTE,Put Credit Spread,ES,5450,24.570117355758455,7.371035206727536,1,-859.95,N/A
2024-01-19,0DTE,Call Credit Spread,ES,5450,18.85735313935274,47.14338284838185,1,1414.30,N/A
2024-01-26,0DTE,Put Credit Spread,ES,5275,20.323641440054075,6.097092432016223,1,-711.33,N/A
2024-02-02,0DTE,Call Credit Spread,ES,5475,20.23479512405608,50.5869878101402,1,1517.61,N/A
2024-02-23,0DTE,Call Credit Spread,ES,5375,23.183234777359754,57.95808694339939,1,1738.74,N/A
2024-03-08,0DTE,Call Credit Spread,ES,5400,18.267151139968185,45.66787784992046,1,1370.04,N/A
2024-03-15,0DTE,Put Credit Spread,ES,5275,20.97656978233225,6.2929709346996745,1,-734.18,N/A
2024-03-22,0DTE,Call Credit Spread,ES,5475,20.845722402545302,52.11430600636326,1,1563.43,N/A
2024-04-04,0DTE,Call Credit Spread,ES,5500,19.28541467092886,48.213536677322146,1,1446.41,N/A
2024-04-11,0DTE,Call Credit Spread,ES,5425,21.858714034448976,54.64678508612244,1,1639.40,N/A
2024-04-18,0DTE,Call Credit Spread,ES,5425,20.948914710517094,52.37228677629274,1,1571.17,N/A
2024-04-25,0DTE,Call Credit Spread,ES,5450,23.90871623443164,59.7717905860791,1,1793.15,N/A
2024-05-02,0DTE,Put Credit Spread,ES,5325,17.89995814862688,5.369987444588063,1,-626.50,N/A
2024-05-09,0DTE,Put Credit Spread,ES,5375,15.579496179573022,4.673848853871906,1,-545.28,N/A
2024-05-16,0DTE,Put Credit Spread,ES,5325,18.216438399385982,5.464931519815795,1,-637.58,N/A
2024-05-30,0DTE,Put Credit Spread,ES,5400,20.91668939198333,6.275006817594998,1,-732.08,N/A
2024-06-06,0DTE,Call Credit Spread,ES,5525,20.846627133665525,52.11656783416381,1,1563.50,N/A
2024-06-13,0DTE,Put Credit Spread,ES,5275,17.273297574895427,5.181989272468628,1,-604.57,N/A
2024-06-20,0DTE,Put Credit Spread,ES,5375,18.695610691900622,5.608683207570187,1,-654.35,N/A
2024-01-03,LT112,Iron Condor,SPY,538,9.777820997736344,4.888910498868172,1,244.45,112
2024-01-15,LT112,Iron Condor,SPY,543,9.618012075877537,4.809006037938769,1,240.45,112
2024-01-16,LT112,Iron Condor,SPY,541,9.632032997504645,4.816016498752322,1,240.80,112
2024-04-01,LT112,Iron Condor,SPY,544,8.606536733272637,4.303268366636319,1,215.16,112
2024-04-23,LT112,Iron Condor,SPY,539,10.410362298047932,5.205181149023966,1,260.26,112
2024-05-06,LT112,Iron Condor,SPY,554,10.42314973191494,5.21157486595747,1,260.58,112
2024-05-20,LT112,Iron Condor,SPY,550,11.332012370838346,5.666006185419173,1,283.30,112
2024-05-26,LT112,Iron Condor,SPY,534,10.088259911604661,5.0441299558023305,1,252.21,112
2024-01-02,STRANGLE,Short Strangle,ES,N/A,36.80138663966889,47.84180263156956,1,-552.02,90
2024-01-30,STRANGLE,Short Strangle,ES,N/A,39.4569906680499,51.29408786846487,1,-591.85,90
2024-02-13,STRANGLE,Short Strangle,ES,N/A,27.492694381954866,13.746347190977433,1,687.32,90
2024-02-20,STRANGLE,Short Strangle,ES,N/A,26.93985363104815,13.469926815524074,1,673.50,90
2024-01-08,IPMCC,Married Call,SPY,547,3.2644867145951166,4.2438327289736515,1,97.93,30
2024-01-31,IPMCC,Married Call,SPY,563,3.525573136424074,4.583245077351296,1,105.77,30
2024-02-12,IPMCC,Married Call,SPY,544,4.108504638635619,5.341056030226305,1,123.26,30
2024-02-25,IPMCC,Married Call,SPY,552,4.86569047610676,6.325397618938788,1,145.97,30
2024-02-26,IPMCC,Married Call,SPY,552,3.483819923967539,4.528965901157801,1,104.51,30
2024-03-08,IPMCC,Married Call,SPY,550,4.212830374170053,5.476679486421069,1,126.38,30
2024-03-14,IPMCC,Married Call,SPY,565,4.383757318682205,5.698884514286867,1,131.51,30
2024-03-17,IPMCC,Married Call,SPY,537,4.406227082223335,5.728095206890336,1,132.19,30
2024-03-24,IPMCC,Married Call,SPY,553,3.4644777556379003,4.503821082329271,1,103.93,30
2024-04-08,IPMCC,Married Call,SPY,549,3.6419071772883,4.73447933047479,1,109.26,30
2024-04-16,IPMCC,Married Call,SPY,557,3.0137225562806993,3.9178393231649093,1,90.41,30
2024-04-19,IPMCC,Married Call,SPY,543,3.5334847244668226,4.59353014180687,1,106.00,30
2024-04-21,IPMCC,Married Call,SPY,547,3.6378998893818957,4.729269856196464,1,109.14,30
2024-05-01,IPMCC,Married Call,SPY,563,4.54142747645401,1.816570990581604,1,-272.49,30
2024-05-04,IPMCC,Married Call,SPY,539,4.050395195059544,1.6201580780238176,1,-243.02,30
2024-05-08,IPMCC,Married Call,SPY,556,3.422859756964945,1.369143902785978,1,-205.37,30
2024-05-25,IPMCC,Married Call,SPY,541,3.464446734399379,4.503780754719193,1,103.93,30
2024-06-06,IPMCC,Married Call,SPY,563,4.576413456468233,5.949337493408702,1,137.29,30
2024-06-11,IPMCC,Married Call,SPY,539,3.6740417178089975,4.776254233151697,1,110.22,30
2024-06-14,IPMCC,Married Call,SPY,552,3.002119616877621,1.2008478467510484,1,-180.13,30
2024-03-06,LEAP,Put Ladder,SPY,452,56.651385803981405,11.330277160796282,1,-4532.11,365
2024-04-30,LEAP,Put Ladder,SPY,454,45.74437083499774,64.04211916899683,1,1829.77,365
2024-06-11,LEAP,Put Ladder,SPY,449,45.887041244559356,64.24185774238309,1,1835.48,365
2024-06-25,LEAP,Put Ladder,SPY,456,45.93274443618161,9.186548887236322,1,-3674.62,365