ID,Date,Symbol,Strategy,Entry Price,Exit Price,DTE,P&L Â£,P&L %,BP Used %,Win/Loss,Notes
TRADE_1,2025-03-19,MGC,LT112,271.81,-6.09,63,-3945,-102.24,9,LOSS,"Stopped out"
TRADE_2,2025-08-02,ES,STRANGLE,560.6,718.84,75,2338,28.23,10,WIN,"Successful trade"
TRADE_3,2025-08-16,GLD,LT112,456.07,663.26,14,2254,45.43,5,WIN,"Successful trade"
TRADE_4,2025-08-15,TLT,LT112,194.64,279.01,42,1069,43.35,4,WIN,"Successful trade"
TRADE_5,2025-08-18,MCL,0DTE,308.98,-53.95,0,-4550,-117.46,2,LOSS,"Stopped out"
TRADE_6,2025-03-28,MGC,BUTTERFLY,324.17,462.88,33,1638,42.79,3,WIN,"Successful trade"
TRADE_7,2025-07-11,MGC,0DTE,553.67,-147.44,0,-9533,-126.63,7,LOSS,"Stopped out"
TRADE_8,2025-05-29,MCL,STRANGLE,293.66,342.58,92,732,16.66,10,WIN,"Successful trade"
TRADE_9,2025-05-26,ES,IPMCC,356.25,412.06,32,793,15.66,10,WIN,"Successful trade"
TRADE_10,2025-05-16,ES,STRANGLE,515.78,697.53,74,2131,35.24,3,WIN,"Successful trade"
TRADE_11,2025-05-27,GLD,IPMCC,475.03,621.45,36,1525,30.82,5,WIN,"Successful trade"
TRADE_12,2025-06-30,MCL,BUTTERFLY,395.72,447.9,69,722,13.19,6,WIN,"Successful trade"
TRADE_13,2025-08-28,MGC,0DTE,246.76,336.93,0,1206,36.54,8,WIN,"Successful trade"
TRADE_14,2025-07-10,ES,STRANGLE,184.84,-15.79,25,-2862,-108.54,11,LOSS,"Stopped out"
TRADE_15,2025-06-10,GLD,0DTE,388.06,477.84,0,1343,23.14,7,WIN,"Successful trade"
TRADE_16,2025-07-24,GLD,0DTE,265.97,327.18,0,649,23.01,9,WIN,"Successful trade"
TRADE_17,2025-06-09,MGC,STRANGLE,183.51,264.51,79,852,44.14,7,WIN,"Successful trade"
TRADE_18,2025-07-16,MCL,0DTE,162.68,-17.13,0,-2037,-110.53,10,LOSS,"Stopped out"
TRADE_19,2025-04-22,MGC,STRANGLE,165.43,198.41,14,392,19.93,9,WIN,"Successful trade"
TRADE_20,2025-04-06,TLT,LT112,533.19,672.26,36,1469,26.08,2,WIN,"Successful trade"
TRADE_21,2025-03-02,ES,STRANGLE,143.21,-12.93,96,-2012,-109.03,7,LOSS,"Stopped out"
TRADE_22,2025-05-14,ES,0DTE,521.65,765.84,0,2738,46.81,4,WIN,"Successful trade"
TRADE_23,2025-08-11,MCL,LT112,281.85,292.68,99,112,3.84,10,WIN,"Successful trade"
TRADE_24,2025-03-02,MGC,IPMCC,558.02,-5.47,42,-6835,-100.98,8,LOSS,"Stopped out"
TRADE_25,2025-08-19,MCL,STRANGLE,469.23,687.82,29,3182,46.58,8,WIN,"Successful trade"
TRADE_26,2025-03-14,TLT,LT112,337.48,359.42,57,298,6.5,7,WIN,"Successful trade"
TRADE_27,2025-04-28,TLT,0DTE,557.7,636.56,0,1093,14.14,3,WIN,"Successful trade"
TRADE_28,2025-08-27,MCL,IPMCC,495.63,705.41,92,3000,42.33,5,WIN,"Successful trade"
TRADE_29,2025-03-25,TLT,STRANGLE,369.56,514.98,69,2077,39.35,8,WIN,"Successful trade"
TRADE_30,2025-07-18,MCL,BUTTERFLY,372.63,445.81,96,917,19.64,7,WIN,"Successful trade"
TRADE_31,2025-06-21,TLT,BUTTERFLY,459.52,502.69,27,528,9.4,2,WIN,"Successful trade"
TRADE_32,2025-03-12,ES,STRANGLE,358.26,-49.9,40,-5714,-113.93,11,LOSS,"Stopped out"
TRADE_33,2025-08-20,MGC,LT112,192.34,277.69,21,899,44.38,2,WIN,"Successful trade"
TRADE_34,2025-06-29,MCL,LT112,373.81,531.04,30,2143,42.06,6,WIN,"Successful trade"
TRADE_35,2025-07-31,GLD,LT112,578.74,729.23,79,2075,26,5,WIN,"Successful trade"
TRADE_36,2025-04-07,TLT,0DTE,427.33,484.4,0,806,13.35,6,WIN,"Successful trade"
TRADE_37,2025-08-21,MCL,LT112,377.53,384.9,85,103,1.95,3,WIN,"Successful trade"
TRADE_38,2025-06-26,MGC,BUTTERFLY,312.05,324.97,23,165,4.14,9,WIN,"Successful trade"
TRADE_39,2025-04-10,ES,0DTE,590.76,862.45,0,3877,45.99,9,WIN,"Successful trade"
TRADE_40,2025-03-21,ES,LT112,422.89,592.86,27,2318,40.19,7,WIN,"Successful trade"
TRADE_41,2025-07-12,MGC,LT112,238.21,257.77,54,273,8.21,6,WIN,"Successful trade"
TRADE_42,2025-04-02,GLD,0DTE,315.92,462.58,0,1500,46.43,11,WIN,"Successful trade"
TRADE_43,2025-07-30,TLT,IPMCC,298.8,-18.02,36,-4324,-106.03,9,LOSS,"Stopped out"
TRADE_44,2025-06-22,ES,STRANGLE,221.5,-32.09,26,-2834,-114.49,7,LOSS,"Stopped out"
TRADE_45,2025-03-27,MGC,STRANGLE,281.57,344.91,94,779,22.5,9,WIN,"Successful trade"
TRADE_46,2025-06-24,ES,LT112,115.91,171.46,33,619,47.93,8,WIN,"Successful trade"
TRADE_47,2025-03-04,GLD,LT112,378.62,547.86,36,1928,44.7,11,WIN,"Successful trade"
TRADE_48,2025-05-05,MCL,IPMCC,432.63,449.46,97,213,3.89,9,WIN,"Successful trade"
TRADE_49,2025-08-16,ES,BUTTERFLY,277.66,407.95,83,1537,46.92,7,WIN,"Successful trade"
TRADE_50,2025-05-09,TLT,BUTTERFLY,555.91,561.71,54,68,1.04,4,WIN,"Successful trade"
TRADE_51,2025-06-23,MCL,LT112,361.08,530.21,56,2208,46.84,6,WIN,"Successful trade"
TRADE_52,2025-05-04,ES,BUTTERFLY,400.41,512.39,43,1280,27.97,11,WIN,"Successful trade"
TRADE_53,2025-08-09,MCL,STRANGLE,435.39,451.31,22,189,3.66,2,WIN,"Successful trade"
TRADE_54,2025-05-27,TLT,STRANGLE,562.32,710.04,83,2007,26.27,8,WIN,"Successful trade"
TRADE_55,2025-03-02,MGC,LT112,352.61,382.15,56,374,8.38,7,WIN,"Successful trade"
TRADE_56,2025-05-12,ES,BUTTERFLY,218.15,230.57,18,136,5.69,3,WIN,"Successful trade"
TRADE_57,2025-07-08,MCL,STRANGLE,316.43,434.79,44,1581,37.4,2,WIN,"Successful trade"
TRADE_58,2025-04-28,MGC,STRANGLE,258.81,301.25,18,537,16.4,10,WIN,"Successful trade"
TRADE_59,2025-05-28,ES,LT112,515.46,602.63,75,937,16.91,9,WIN,"Successful trade"
TRADE_60,2025-05-20,TLT,IPMCC,235.22,300.62,49,673,27.8,2,WIN,"Successful trade"
TRADE_61,2025-08-02,TLT,0DTE,154.62,175.03,0,288,13.2,5,WIN,"Successful trade"
TRADE_62,2025-03-13,GLD,IPMCC,562.79,640.84,43,1046,13.87,4,WIN,"Successful trade"
TRADE_63,2025-04-13,TLT,STRANGLE,494.45,519.34,74,296,5.03,6,WIN,"Successful trade"
TRADE_64,2025-04-25,TLT,0DTE,371.73,523.44,0,1685,40.81,3,WIN,"Successful trade"
TRADE_65,2025-08-26,ES,LT112,100.71,141.91,92,518,40.91,11,WIN,"Successful trade"
TRADE_66,2025-06-26,MCL,STRANGLE,423.17,634.59,84,2511,49.96,3,WIN,"Successful trade"
TRADE_67,2025-03-26,MGC,IPMCC,137.55,199.51,28,821,45.04,7,WIN,"Successful trade"
TRADE_68,2025-06-26,MCL,0DTE,211.65,229.59,0,239,8.48,9,WIN,"Successful trade"
TRADE_69,2025-04-13,TLT,IPMCC,292.02,-2.83,43,-3095,-100.97,2,LOSS,"Stopped out"
TRADE_70,2025-08-17,MGC,STRANGLE,447.07,582.09,66,1909,30.2,11,WIN,"Successful trade"
TRADE_71,2025-07-25,GLD,BUTTERFLY,159.05,229.85,64,884,44.51,3,WIN,"Successful trade"
TRADE_72,2025-08-28,MGC,LT112,244.4,251.37,51,92,2.85,5,WIN,"Successful trade"
TRADE_73,2025-03-31,MGC,STRANGLE,274.79,386.6,74,1498,40.69,5,WIN,"Successful trade"
TRADE_74,2025-07-02,GLD,BUTTERFLY,226.27,287.22,42,739,26.93,10,WIN,"Successful trade"
TRADE_75,2025-07-04,TLT,BUTTERFLY,141.92,190.41,83,491,34.17,6,WIN,"Successful trade"
TRADE_76,2025-06-23,MCL,IPMCC,526.48,563.39,47,542,7.01,9,WIN,"Successful trade"
TRADE_77,2025-04-28,ES,IPMCC,214.78,249.2,10,486,16.03,3,WIN,"Successful trade"
TRADE_78,2025-04-16,GLD,LT112,347.57,-16.53,15,-5374,-104.75,8,LOSS,"Stopped out"
TRADE_79,2025-08-12,MCL,0DTE,378.87,486.13,0,1284,28.31,10,WIN,"Successful trade"
TRADE_80,2025-07-30,GLD,0DTE,350.77,481.28,0,1888,37.21,7,WIN,"Successful trade"
TRADE_81,2025-05-14,ES,BUTTERFLY,252.2,291.01,78,500,15.39,5,WIN,"Successful trade"
TRADE_82,2025-07-15,MCL,STRANGLE,101.74,150.57,71,605,48,2,WIN,"Successful trade"
TRADE_83,2025-05-25,GLD,BUTTERFLY,489.52,550.42,28,896,12.44,4,WIN,"Successful trade"
TRADE_84,2025-06-05,MGC,IPMCC,133.25,175.56,25,511,31.75,7,WIN,"Successful trade"
TRADE_85,2025-06-30,MGC,IPMCC,421.69,541.1,69,1618,28.32,6,WIN,"Successful trade"
TRADE_86,2025-03-20,GLD,IPMCC,325.38,445.26,62,1723,36.84,4,WIN,"Successful trade"
TRADE_87,2025-05-15,GLD,0DTE,276.82,308.91,0,405,11.59,8,WIN,"Successful trade"
TRADE_88,2025-03-13,MCL,0DTE,543.65,793.54,0,3382,45.97,2,WIN,"Successful trade"
TRADE_89,2025-06-03,ES,IPMCC,247,-66.95,70,-3876,-127.1,4,LOSS,"Stopped out"
TRADE_90,2025-07-11,MGC,LT112,305.88,-65.72,10,-5179,-121.49,10,LOSS,"Stopped out"
TRADE_91,2025-06-06,GLD,STRANGLE,105.77,115,48,120,8.73,5,WIN,"Successful trade"
TRADE_92,2025-03-13,TLT,BUTTERFLY,438.82,-10.58,82,-4532,-102.41,7,LOSS,"Stopped out"
TRADE_93,2025-04-24,MCL,IPMCC,549.6,585.81,25,452,6.59,8,WIN,"Successful trade"
TRADE_94,2025-08-02,MGC,STRANGLE,432.65,601.29,32,2187,38.98,11,WIN,"Successful trade"
TRADE_95,2025-06-27,TLT,BUTTERFLY,168.34,187.47,50,217,11.36,8,WIN,"Successful trade"
TRADE_96,2025-03-20,ES,STRANGLE,466.35,622.26,70,1999,33.43,8,WIN,"Successful trade"
TRADE_97,2025-06-12,GLD,BUTTERFLY,168.42,206.56,18,405,22.65,2,WIN,"Successful trade"
TRADE_98,2025-06-26,MCL,0DTE,384.13,448.96,0,878,16.88,11,WIN,"Successful trade"
TRADE_99,2025-06-17,GLD,IPMCC,508.44,722.03,49,2844,42.01,8,WIN,"Successful trade"
TRADE_100,2025-05-08,MCL,0DTE,439.92,449.46,0,98,2.17,7,WIN,"Successful trade"
TRADE_101,2025-03-27,GLD,BUTTERFLY,276.77,-27.69,51,-3587,-110,4,LOSS,"Stopped out"
TRADE_102,2025-05-10,MGC,LT112,110.49,155.13,68,634,40.41,8,WIN,"Successful trade"
TRADE_103,2025-04-02,MGC,LT112,401.92,491.4,56,1263,22.26,5,WIN,"Successful trade"
TRADE_104,2025-03-05,GLD,BUTTERFLY,197.98,244.36,35,656,23.42,3,WIN,"Successful trade"
TRADE_105,2025-05-11,TLT,0DTE,438.72,558.84,0,1328,27.38,9,WIN,"Successful trade"
TRADE_106,2025-06-05,ES,0DTE,311.49,344.29,0,373,10.53,11,WIN,"Successful trade"
TRADE_107,2025-07-16,TLT,0DTE,305.38,-66.77,0,-3978,-121.87,3,LOSS,"Stopped out"
TRADE_108,2025-06-23,ES,IPMCC,448.14,480.67,14,369,7.26,3,WIN,"Successful trade"
TRADE_109,2025-08-11,TLT,IPMCC,360.67,428.32,23,857,18.76,11,WIN,"Successful trade"
TRADE_110,2025-04-13,GLD,LT112,549.29,564.17,36,208,2.71,3,WIN,"Successful trade"
TRADE_111,2025-06-03,GLD,LT112,192.58,262.27,21,966,36.19,9,WIN,"Successful trade"
TRADE_112,2025-03-13,MCL,BUTTERFLY,564.62,830.92,75,3214,47.17,4,WIN,"Successful trade"
TRADE_113,2025-07-04,MCL,STRANGLE,307.98,346.34,79,483,12.45,3,WIN,"Successful trade"
TRADE_114,2025-07-17,MCL,0DTE,362.85,460.34,0,1418,26.87,4,WIN,"Successful trade"
TRADE_115,2025-07-18,MGC,BUTTERFLY,461.24,689.94,17,3113,49.58,11,WIN,"Successful trade"
TRADE_116,2025-04-11,TLT,0DTE,288.77,372.67,0,1219,29.05,7,WIN,"Successful trade"
TRADE_117,2025-08-11,MGC,0DTE,352.29,401.79,0,497,14.05,8,WIN,"Successful trade"
TRADE_118,2025-06-17,ES,0DTE,481.96,612.63,0,1718,27.11,2,WIN,"Successful trade"
TRADE_119,2025-05-20,TLT,STRANGLE,156.74,-39.23,43,-2213,-125.03,8,LOSS,"Stopped out"
TRADE_120,2025-04-27,ES,LT112,240.5,337.84,25,1289,40.47,3,WIN,"Successful trade"
TRADE_121,2025-05-20,ES,0DTE,314.18,447.46,0,1490,42.42,10,WIN,"Successful trade"
TRADE_122,2025-08-03,MCL,LT112,328.08,353.48,75,363,7.74,3,WIN,"Successful trade"
TRADE_123,2025-05-12,MGC,0DTE,220.59,237.59,0,173,7.71,11,WIN,"Successful trade"
TRADE_124,2025-08-18,TLT,LT112,124.69,152.1,42,334,21.98,9,WIN,"Successful trade"
TRADE_125,2025-03-28,GLD,0DTE,181.28,199.49,0,255,10.05,4,WIN,"Successful trade"
TRADE_126,2025-04-01,MGC,LT112,204.99,291.69,30,882,42.3,6,WIN,"Successful trade"
TRADE_127,2025-05-21,GLD,0DTE,323.6,421.58,0,1388,30.28,2,WIN,"Successful trade"
TRADE_128,2025-04-25,MCL,BUTTERFLY,300.82,-51.52,53,-5174,-117.13,8,LOSS,"Stopped out"
TRADE_129,2025-04-20,TLT,STRANGLE,417.99,543.34,41,1338,29.99,3,WIN,"Successful trade"
TRADE_130,2025-05-16,GLD,IPMCC,511.44,538.81,60,284,5.35,7,WIN,"Successful trade"
TRADE_131,2025-03-30,MGC,0DTE,359.44,444.54,0,889,23.68,3,WIN,"Successful trade"
TRADE_132,2025-03-06,ES,LT112,520.45,724.8,71,2897,39.26,2,WIN,"Successful trade"
TRADE_133,2025-03-15,ES,IPMCC,394.11,514.02,52,1538,30.42,11,WIN,"Successful trade"
TRADE_134,2025-03-22,TLT,LT112,258.36,-39.1,74,-4266,-115.13,2,LOSS,"Stopped out"
TRADE_135,2025-03-19,MCL,BUTTERFLY,262.97,313.56,81,523,19.24,2,WIN,"Successful trade"
TRADE_136,2025-08-24,ES,STRANGLE,562.22,671.03,74,1530,19.35,9,WIN,"Successful trade"
TRADE_137,2025-05-05,ES,IPMCC,294.69,345.21,87,559,17.14,3,WIN,"Successful trade"
TRADE_138,2025-03-21,ES,IPMCC,489.74,729.59,75,2642,48.97,2,WIN,"Successful trade"
TRADE_139,2025-05-31,GLD,STRANGLE,475.91,548.06,82,808,15.16,3,WIN,"Successful trade"
TRADE_140,2025-04-05,MCL,STRANGLE,583.68,812.37,59,2608,39.18,10,WIN,"Successful trade"
TRADE_141,2025-03-08,MGC,BUTTERFLY,435.44,537.16,88,1105,23.36,8,WIN,"Successful trade"
TRADE_142,2025-04-12,GLD,IPMCC,498.03,510.99,56,165,2.6,8,WIN,"Successful trade"
TRADE_143,2025-08-28,TLT,LT112,528.11,569.85,19,500,7.9,8,WIN,"Successful trade"
TRADE_144,2025-06-10,GLD,IPMCC,180.57,209.73,85,320,16.15,9,WIN,"Successful trade"
TRADE_145,2025-06-03,MCL,0DTE,184.95,272.53,0,1100,47.36,7,WIN,"Successful trade"
TRADE_146,2025-04-16,GLD,STRANGLE,198.92,275.14,52,916,38.31,9,WIN,"Successful trade"
TRADE_147,2025-08-25,ES,LT112,527.52,720.67,87,2363,36.61,6,WIN,"Successful trade"
TRADE_148,2025-04-07,MCL,LT112,432.46,543.46,11,1248,25.67,2,WIN,"Successful trade"
TRADE_149,2025-07-09,ES,STRANGLE,523,553.86,26,324,5.9,10,WIN,"Successful trade"
TRADE_150,2025-04-26,MCL,LT112,139.03,161.32,14,290,16.04,6,WIN,"Successful trade"